TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Lean on Pete,2017,121,Drama,Andrew Haigh,Andrew Haigh,Charlie Plummer,Reino Unido,6.6,1445
Leaving Las Vegas,1995,112,Romance,Mike Figgis,Mike Figgis,Nicolas Cage,Estados Unidos,7.3,55776
Lee mis labios,2001,115,Drama,Jacques Audiard,Jacques Audiard,Vincent Cassel,Francia,6.7,1834
Legado en los huesos,2019,119,Thriller,Fernando González Molina,Fernando González Molina,Marta Etura,España,5.8,9574
Legend,2015,127,Thriller,Brian Helgeland,Brian Helgeland,Tom Hardy,Reino Unido,5.9,9261
"Legítima defensa, de John Grisham",1997,135,Intriga,Francis Ford Coppola,Francis Ford Coppola,Matt Damon,Estados Unidos,6.5,11338
Lejano,2002,110,Drama,Nuri Bilge Ceylan,Nuri Bilge Ceylan,Muzaffer Özdemir,Turquía,6.9,1763
Lejos de ella,2006,110,Romance,Sarah Polley,Sarah Polley,Julie Christie,Canadá,6.9,3105
Lejos de la tierra quemada,2008,111,Drama,Guillermo Arriaga,Guillermo Arriaga,Charlize Theron,Estados Unidos,6.4,6737
Lejos de los hombres,2014,101,Aventuras,David Oelhoffen,David Oelhoffen,Viggo Mortensen,Francia,6.4,3226
Lejos del cielo,2002,107,Drama,Todd Haynes,Todd Haynes,Julianne Moore,Estados Unidos,7.0,9433
Lejos del mundanal ruido,2015,119,Romance,Thomas Vinterberg,Thomas Vinterberg,Carey Mulligan,Reino Unido,6.4,5356
Leonera,2008,113,Drama,Pablo Trapero,Pablo Trapero,Martina Gusman,Argentina,6.9,2574
Leones por corderos,2007,90,Drama,Robert Redford,Robert Redford,Tom Cruise,Estados Unidos,5.9,14125
Les combattants,2014,98,Comedia,Thomas Cailley,Thomas Cailley,Kévin Azaïs,Francia,6.0,2140
Lesson of the Evil,2012,129,Thriller,Takashi Miike,Takashi Miike,Denzel Washington,Estados Unidos,6.2,1132
Leviatán,2014,141,Drama,Andrey Zvyagintsev,Andrey Zvyagintsev,Aleksey Serebryakov,Rusia,7.2,7027
Ley 627,1992,140,Drama,Bertrand Tavernier,Bertrand Tavernier,Didier Bezace,Francia,7.0,1168
Leyendas de pasión,1994,134,Romance,Edward Zwick,Edward Zwick,Brad Pitt,Estados Unidos,6.8,69712
León y Olvido,2004,112,Drama,Xavier Bermúdez,Xavier Bermúdez,Marta Larralde,España,6.0,1532
Libertad,2021,104,Drama,Clara Roquet,Clara Roquet,María Morera,España,6.6,2707
Libertad condicional,1978,114,Drama,Ulu Grosbard,Ulu Grosbard,Dustin Hoffman,Estados Unidos,6.7,1038
Libéranos del mal,2020,108,Thriller,Won-Chan Hong,Won-Chan Hong,Hwang Jung-min,Corea del Sur,6.3,1080
Licencia para matar,1975,128,Acción,Clint Eastwood,Clint Eastwood,Clint Eastwood,Estados Unidos,5.8,4005
Licorice Pizza,2021,133,Comedia,Paul Thomas Anderson,Paul Thomas Anderson,Alana Haim,Estados Unidos,6.6,16395
Life (Vida),2017,103,Ciencia ficción,Daniel Espinosa,Daniel Espinosa,Jake Gyllenhaal,Estados Unidos,5.8,24459
Life Aquatic,2004,118,Comedia,Wes Anderson,Wes Anderson,Bill Murray,Estados Unidos,6.6,19497
Lightyear,2022,100,Animación,Angus MacLane,Angus MacLane,Maribel Verdú,España,5.8,10151
Like Someone in Love (Como alguien enamorado),2012,109,Drama,Abbas Kiarostami,Abbas Kiarostami,Rin Takanashi,Japón,6.4,1205
Lili Marleen (Una canción... Lilí Marlen),1981,116,Drama,Rainer Werner Fassbinder,Rainer Werner Fassbinder,Hanna Schygulla,Alemania del Oeste (RFA),6.6,1097
Lilja Forever (Lilja 4-ever),2002,109,Drama,Lukas Moodysson,Lukas Moodysson,Oksana Akinshina,Suecia,7.5,11952
Lilo & Stitch,2002,90,Animación,Dean DeBlois,"Dean DeBlois,", ,Estados Unidos,6.3,24810
Lilting,2014,91,Drama,Hong Khaou,Hong Khaou,Marie Gillain,Francia,6.8,1278
Lincoln,2012,149,Drama,Steven Spielberg,Steven Spielberg,Daniel Day-Lewis,Estados Unidos,6.3,28575
Lion,2016,120,Drama,Garth Davis,Garth Davis,Dev Patel,Australia,7.3,21383
Lisboa,1999,100,Thriller,Antonio Hernández,Antonio Hernández,Carmen Maura,España,6.3,1487
Lisboa Story (Historias de Lisboa),1994,100,Drama,Wim Wenders,Wim Wenders,Rüdiger Vogler,Alemania,6.9,1378
Lista de espera,2000,102,Comedia,Juan Carlos Tabío,Juan Carlos Tabío,Vladimir Cruz,Cuba,6.8,1683
Little Boy,2015,100,Drama,Alejandro Monteverde,Alejandro Monteverde,Jakob Salvati,México,6.3,1829
Little Joe,2019,105,Drama,Jessica Hausner,Jessica Hausner,Emily Beecham,Austria,6.1,2444
Little Voice,1998,97,Comedia,Mark Herman,Mark Herman,Brenda Blethyn,Reino Unido,6.4,1128
Live is Life. La gran aventura,2021,109,Aventuras,Dani de la Torre,Dani de la Torre,Adrián Baena,España,5.8,2236
Living,2022,102,Drama,Oliver Hermanus,Oliver Hermanus,Bill Nighy,Reino Unido,6.6,2386
Llaman a la puerta,2023,100,Intriga,M. Night Shyamalan,M. Night Shyamalan,Dave Bautista,Estados Unidos,5.8,7066
Llamando a las puertas del cielo,2005,122,Drama,Wim Wenders,Wim Wenders,Sam Shepard,Estados Unidos,6.3,1567
Llamaradas,1991,136,Intriga,Ron Howard,Ron Howard,Kurt Russell,Estados Unidos,6.0,14675
Llenos de gracia,2022,109,Comedia,Roberto Bueso,Roberto Bueso,Carmen Machi,España,6.1,1964
Lloviendo piedras,1993,90,Drama,Ken Loach,Ken Loach,Bruce Jones,Reino Unido,7.2,4198
Lluvia,2001,94,Drama,Majid Majidi,Majid Majidi,Hossein Abedini,Irán,7.3,1519
Lluvia en los zapatos,1998,90,Comedia,María Ripoll,María Ripoll,Lena Headey,España,5.9,2021
Lluvia negra,1989,118,Drama,Shôhei Imamura,Shôhei Imamura,Yoshiko Tanaka,Japón,7.7,1871
Llámame Peter,2004,122,Drama,Stephen Hopkins,Stephen Hopkins,Geoffrey Rush,Estados Unidos,6.2,2684
Lo importante es amar,1975,105,Romance,Andrzej Zulawski,Andrzej Zulawski,Romy Schneider,Francia,6.8,1503
Lo imposible,2012,107,Drama,J.A. Bayona,J.A. Bayona,Naomi Watts,España,6.8,72407
Lo que arde con el fuego,2018,104,Drama,Paul Dano,Paul Dano,Jake Gyllenhaal,Estados Unidos,6.3,3149
Lo que el día debe a la noche,2012,159,Romance,Alexandre Arcady,Alexandre Arcady,Iyad Bouchi,Francia,6.4,1433
Lo que esconde Silver Lake,2018,140,Intriga,David Robert Mitchell,David Robert Mitchell,Andrew Garfield,Estados Unidos,6.0,8156
Lo que la verdad esconde,2000,123,Intriga,Robert Zemeckis,Robert Zemeckis,Harrison Ford,Estados Unidos,6.0,33382
Lo que queda del día,1993,134,Drama,James Ivory,James Ivory,Anthony Hopkins,Reino Unido,7.5,20533
Lobo,2014,100,Aventuras,Naji Abu Nowar,Naji Abu Nowar,Jacir Eid,Jordania,6.6,1210
Loca academia de policía,1984,95,Comedia,Hugh Wilson,Hugh Wilson,Steve Guttenberg,Estados Unidos,5.8,23457
Loca evasión,1974,109,Drama,Steven Spielberg,Steven Spielberg,Goldie Hawn,Estados Unidos,5.8,2449
Locas de alegría,2016,111,Comedia,Paolo Virzì,Paolo Virzì,Valeria Bruni Tedeschi,Italia,6.5,3987
Lock & Stock,1998,106,Thriller,Guy Ritchie,Guy Ritchie,Nick Moran,Reino Unido,7.8,61592
Loco por ella,2021,102,Romance,Dani de la Orden,Dani de la Orden,Álvaro Cervantes,España,5.9,8177
Locos de amor,2005,92,Romance,Petter Naess,Petter Naess,Josh Hartnett,Estados Unidos,6.1,2193
Locos en Alabama,1999,104,Drama,Antonio Banderas,Antonio Banderas,Melanie Griffith,Estados Unidos,6.1,6261
Logan,2017,135,Thriller,James Mangold,James Mangold,Hugh Jackman,Estados Unidos,6.9,36019
Lola,1981,115,Drama,Rainer Werner Fassbinder,Rainer Werner Fassbinder,Barbara Sukowa,Alemania del Oeste (RFA),7.0,1161
Lolita,1997,137,Drama,Adrian Lyne,Adrian Lyne,Jeremy Irons,Estados Unidos,6.1,11073
London: Oscura Obsesión,2005,100,Drama,Hunter Richards,Hunter Richards,Chris Evans,Reino Unido,6.0,2033
Lone Star,1996,135,Drama,John Sayles,John Sayles,Chris Cooper,Estados Unidos,7.2,3866
Looper,2012,118,Ciencia ficción,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,Estados Unidos,6.6,62563
Lore,2012,105,Drama,Cate Shortland,Cate Shortland,Saskia Rosendahl,Alemania,6.4,3915
Loreak (Flores),2014,99,Drama,Jon Garaño,"Jon Garaño,",Nagore Aranburu,España,6.6,9284
Los Boxtrolls,2014,97,Animación,Graham Annable,"Graham Annable,",Al Pacino,Estados Unidos,6.2,5364
Los Commitments,1991,114,Musical,Alan Parker,Alan Parker,Robert Arkins,Reino Unido,7.2,6783
Los Croods. Una aventura prehistórica,2013,90,Animación,Kirk DeMicco,"Kirk DeMicco,", ,Estados Unidos,6.3,21378
Los Croods: Una nueva era,2020,95,Animación,Joel Crawford,Joel Crawford, ,Estados Unidos,6.2,2818
Los Fabelman,2022,151,Drama,Steven Spielberg,Steven Spielberg,Michelle Williams,Estados Unidos,7.2,8656
Los Goonies,1985,111,Aventuras,Richard Donner,Richard Donner,Sean Astin,Estados Unidos,7.3,73373
Los Increíbles 2,2018,118,Animación,Brad Bird,Brad Bird, ,Estados Unidos,6.7,24421
Los Miserables: La leyenda nunca muere,1998,134,Drama,Bille August,Bille August,Liam Neeson,Estados Unidos,6.9,8518
Los Mitchell contra las máquinas,2021,110,Animación,Michael Rianda,"Michael Rianda,", ,Estados Unidos,7.1,11900
Los Tenenbaums. Una familia de genios,2001,108,Comedia,Wes Anderson,Wes Anderson,Gene Hackman,Estados Unidos,6.9,29800
Los Vengadores,2012,135,Fantástico,Joss Whedon,Joss Whedon,Robert Downey Jr.,Estados Unidos,6.9,81369
Los abrazos rotos,2009,125,Drama,Pedro Almodóvar,Pedro Almodóvar,Penélope Cruz,España,6.3,26109
Los amantes del Pont-Neuf,1991,125,Drama,Leos Carax,Leos Carax,Juliette Binoche,Francia,7.4,4002
Los amantes del círculo polar,1998,114,Romance,Julio Medem,Julio Medem,Fele Martínez,España,7.4,52832
Los amantes habituales,2005,178,Drama,Philippe Garrel,Philippe Garrel,Louis Garrel,Francia,7.1,1621
Los amigos de Peter,1992,102,Drama,Kenneth Branagh,Kenneth Branagh,Emma Thompson,Reino Unido,7.0,11230
Los amores imaginarios,2010,102,Romance,Xavier Dolan,Xavier Dolan,Xavier Dolan,Canadá,6.7,5718
Los amos de Brooklyn,2009,132,Thriller,Antoine Fuqua,Antoine Fuqua,Richard Gere,Estados Unidos,6.0,8889
Los amos de Dogtown,2005,105,Drama,Catherine Hardwicke,Catherine Hardwicke,Emile Hirsch,Estados Unidos,6.7,7765
Los amos de la noche (The Warriors),1979,94,Acción,Walter Hill,Walter Hill,Michael Beck,Estados Unidos,7.0,16873
Los archivos del Pentágono,2017,116,Drama,Steven Spielberg,Steven Spielberg,Meryl Streep,Estados Unidos,6.7,21297
Los asesinatos de mamá,1994,97,Comedia,John Waters,John Waters,Kathleen Turner,Estados Unidos,5.9,5985
Los asesinos de Snowtown,2011,116,Thriller,Justin Kurzel,Justin Kurzel,Lucas Pittaway,Australia,6.5,1429
Los años bárbaros,1998,120,Drama,Fernando Colomo,Fernando Colomo,Jordi Mollà,España,6.3,4780
Los caballeros de la mesa cuadrada y sus locos seguidores,1975,90,Comedia,Terry Jones,"Terry Jones,",John Cleese,Reino Unido,7.4,46951
Los caballos de Dios,2012,113,Drama,Nabil Ayouch,Nabil Ayouch,Abdelhakim Rachid,Marruecos,7.1,1484
Los canallas,2013,95,Drama,Claire Denis,Claire Denis,Vincent Lindon,Francia,6.0,1100
Los cazafantasmas,1984,107,Comedia,Ivan Reitman,Ivan Reitman,Bill Murray,Estados Unidos,6.5,117148
Los chicos de la banda,2020,122,Drama,Joe Mantello,Joe Mantello,Jim Parsons,Estados Unidos,6.0,1774
Los chicos del barrio,1991,111,Drama,John Singleton,John Singleton,Ice Cube,Estados Unidos,7.0,8872
Los chicos del coro,2004,95,Drama,Christophe Barratier,Christophe Barratier,Gérard Jugnot,Francia,7.6,84688
Los chicos están bien,2010,109,Comedia,Lisa Cholodenko,Lisa Cholodenko,Annette Bening,Estados Unidos,6.4,21959
Los cien pasos (I cento passi),2000,114,Drama,Marco Tullio Giordana,Marco Tullio Giordana,Luigi Lo Cascio,Italia,7.5,2061
Los cuatro mosqueteros,1974,108,Aventuras,Richard Lester,Richard Lester,Oliver Reed,Reino Unido,5.8,1848
Los cuentos de Canterbury,1972,109,Comedia,Pier Paolo Pasolini,Pier Paolo Pasolini,Franco Citti,Italia,6.5,2784
Los demonios de la noche,1996,110,Aventuras,Stephen Hopkins,Stephen Hopkins,Ed Skrein,Estados Unidos,5.8,7877
Los descendientes,2011,110,Drama,Alexander Payne,Alexander Payne,George Clooney,Estados Unidos,6.5,44607
Los dioses deben estar locos,1980,109,Comedia,Jamie Uys,Jamie Uys,N!Xau,Botswana,6.6,9756
Los dioses deben estar locos 2,1989,98,Comedia,Jamie Uys,Jamie Uys,Natalia de Molina,España,5.8,3310
Los dos papas,2019,126,Drama,Fernando Meirelles,Fernando Meirelles,Carey Mulligan,Reino Unido,6.8,15414
Los duelistas,1977,101,Drama,Ridley Scott,Ridley Scott,Keith Carradine,Reino Unido,7.2,9423
Los días que vendrán,2019,94,Drama,Carlos Marqués-Marcet,Carlos Marqués-Marcet,David Verdaguer,España,6.6,4089
Los edukadores,2004,127,Drama,Hans Weingartner,Hans Weingartner,Julia Jentsch,Alemania,7.2,15650
Los elegidos,1999,107,Acción,Troy Duffy,Troy Duffy,Willem Dafoe,Estados Unidos,6.7,8807
Los exámenes,2016,128,Drama,Cristian Mungiu,Cristian Mungiu,Adrian Titieni,Rumanía,6.5,3104
Los fabulosos Baker Boys,1989,113,Drama,Steve Kloves,Steve Kloves,Jeff Bridges,Estados Unidos,6.5,5397
Los falsificadores,2007,98,Drama,Stefan Ruzowitzky,Stefan Ruzowitzky,Karl Markovics,Austria,7.2,24324
Los fantasmas atacan al jefe,1988,101,Comedia,Richard Donner,Richard Donner,Bill Murray,Estados Unidos,5.9,12204
Los fenómenos,2014,98,Drama,Alfonso Zarauza,Alfonso Zarauza,Lola Dueñas,España,6.3,1830
Los girasoles ciegos,2008,95,Drama,José Luis Cuerda,José Luis Cuerda,Maribel Verdú,España,6.2,19777
Los gritos del silencio,1984,136,Drama,Roland Joffé,Roland Joffé,Sam Waterston,Reino Unido,7.5,15361
Los hermanos McMullen,1995,98,Drama,Edward Burns,Edward Burns,Jack Mulcahy,Estados Unidos,6.5,1033
Los hermanos Sisters,2018,121,Western,Jacques Audiard,Jacques Audiard,Joaquin Phoenix,Francia,6.9,13354
Los hombres detrás del sol,1988,105,Drama,Mou Tun-Fei,Mou Tun-Fei,Wang Gang,China,5.8,1108
Los hombres libres de Jones,2016,139,Acción,Gary Ross,Gary Ross,Matthew McConaughey,Estados Unidos,6.4,9254
Los héroes del tiempo,1981,110,Fantástico,Terry Gilliam,Terry Gilliam,Craig Warnock,Reino Unido,6.2,5745
Los idiotas,1998,117,Drama,Lars von Trier,Lars von Trier,Bodil Jørgensen,Dinamarca,6.6,23971
Los idus de marzo,2011,101,Drama,George Clooney,George Clooney,James Spader,Estados Unidos,6.7,30396
Los ilusos,2013,93,Drama,Jonás Trueba,Jonás Trueba,Francesco Carril,España,6.4,1937
Los impostores (Matchstick Men),2003,120,Comedia,Ridley Scott,Ridley Scott,Nicolas Cage,Estados Unidos,6.4,23192
Los imprevistos del amor,2014,102,Romance,Christian Ditter,Christian Ditter,Lily Collins,Reino Unido,6.1,5281
Los increíbles,2004,115,Animación,Brad Bird,Brad Bird, ,Estados Unidos,7.0,98173
Los inmortales,1986,110,Fantástico,Russell Mulcahy,Russell Mulcahy,Christopher Lambert,Reino Unido,6.8,59145
Los intocables de Eliot Ness,1987,119,Cine negro,Brian De Palma,Brian De Palma,Kevin Costner,Estados Unidos,7.8,90748
Los juegos del hambre,2012,143,Ciencia ficción,Gary Ross,Gary Ross,Jennifer Lawrence,Estados Unidos,6.2,83411
Los juegos del hambre: En llamas,2013,146,Ciencia ficción,Francis Lawrence,Francis Lawrence,Jennifer Lawrence,Estados Unidos,6.5,57277
Los juncos salvajes,1994,110,Drama,André Téchiné,André Téchiné,Isabelle Huppert,Francia,7.3,3508
Los limoneros,2008,106,Drama,Eran Riklis,Eran Riklis,Hiam Abbass,Israel,7.0,3402
Los lioneses,2011,102,Thriller,Olivier Marchal,Olivier Marchal,Gérard Lanvin,Francia,6.7,4790
Los lobos,2019,95,Drama,Samuel Kishi,Samuel Kishi,Martha Lorena Reyes,México,7.0,1490
Los lunes al sol,2002,113,Drama,Fernando León de Aranoa,Fernando León de Aranoa,Javier Bardem,España,7.4,61087
Los límites del control,2009,117,Thriller,Jim Jarmusch,Jim Jarmusch,Isaach de Bankole,Estados Unidos,5.9,3265
Los límites del silencio,2001,105,Intriga,Tom McLoughlin,Tom McLoughlin,Andy García,Estados Unidos,6.0,1668
Los mercenarios 2,2012,102,Acción,Simon West,Simon West,Sylvester Stallone,Estados Unidos,5.9,22483
Los miserables,2012,152,Musical,Tom Hooper,Tom Hooper,Hugh Jackman,Reino Unido,7.2,43482
Los miserables,2019,102,Thriller,Ladj Ly,Ladj Ly,Damien Bonnard,Francia,7.2,9654
Los mundos de Coraline,2009,97,Animación,Henry Selick,Henry Selick, ,Estados Unidos,7.1,51533
Los niños de Huang Shi,2008,114,Drama,Roger Spottiswoode,Roger Spottiswoode,Jonathan Rhys Meyers,China,6.4,4941
Los niños de San Judas,2003,100,Drama,Aisling Walsh,Aisling Walsh,Aidan Quinn,Irlanda,7.0,4646
Los niños del Brasil,1978,123,Intriga,Franklin J. Schaffner,Franklin J. Schaffner,Gregory Peck,Estados Unidos,6.8,7041
Los niños lobo,2012,117,Animación,Mamoru Hosoda,Mamoru Hosoda, ,Japón,7.6,7840
Los niños salvajes,2012,100,Drama,Patricia Ferreira,Patricia Ferreira,Marina Comas,España,5.9,2283
Los nombres del amor,2010,99,Comedia,Michel Leclerc,Michel Leclerc,Jacques Gamblin,Francia,6.5,3486
Los odiosos ocho,2015,167,Western,Quentin Tarantino,Quentin Tarantino,Samuel L. Jackson,Estados Unidos,7.3,63839
Los ojos de Julia,2010,112,Terror,Guillem Morales,Guillem Morales,Belén Rueda,España,6.1,29408
Los ojos del gato,1985,94,Terror,Lewis Teague,Lewis Teague,Drew Barrymore,Estados Unidos,6.0,2017
Los otros,2001,104,Intriga,Alejandro Amenábar,Alejandro Amenábar,Nicole Kidman,España,7.5,149656
Los padres de ella,2000,108,Comedia,Jay Roach,Jay Roach,Robert De Niro,Estados Unidos,6.6,62004
Los padres de él,2004,115,Comedia,Jay Roach,Jay Roach,Ben Stiller,Estados Unidos,6.0,65148
Los pasajeros del tiempo,1979,112,Ciencia ficción,Nicholas Meyer,Nicholas Meyer,Malcolm McDowell,Estados Unidos,6.4,2994
Los peores años de nuestra vida,1994,104,Comedia,Emilio Martínez-Lázaro,Emilio Martínez-Lázaro,Gabino Diego,España,6.1,5039
Los placeres ocultos,1977,98,Drama,Eloy de la Iglesia,Eloy de la Iglesia,Simón Andreu,España,6.2,1019
Los principios del cuidado,2016,93,Drama,Rob Burnett,Rob Burnett,Paul Rudd,Estados Unidos,6.4,5890
Los profesores de Saint-Denis,2019,111,Drama,Mehdi Idir,"Mehdi Idir,",Zita Hanrot,Francia,6.0,1131
Los próximos tres días,2010,122,Thriller,Paul Haggis,Paul Haggis,Russell Crowe,Estados Unidos,6.5,20382
Los puentes de Madison,1995,135,Romance,Clint Eastwood,Clint Eastwood,Meryl Streep,Estados Unidos,7.5,76665
Los renegados del diablo,2005,101,Terror,Rob Zombie,Rob Zombie,Benicio del Toro,Estados Unidos,6.2,8399
Los renglones torcidos de Dios,2022,154,Intriga,Oriol Paulo,Oriol Paulo,Bárbara Lennie,España,6.6,19102
Los reyes del mundo,2022,111,Drama,Laura Mora Ortega,Laura Mora Ortega,Belén Rueda,España,6.7,1021
Los reyes del verano,2013,93,Comedia,Jordan Vogt-Roberts,Jordan Vogt-Roberts,Nick Robinson,Estados Unidos,6.2,6285
Los ríos de color púrpura,2000,105,Thriller,Mathieu Kassovitz,Mathieu Kassovitz,Jean Reno,Francia,6.4,18278
Los santos inocentes,1984,103,Drama,Mario Camus,Mario Camus,Alfredo Landa,España,8.1,43973
Los secretos del corazón,2010,91,Drama,John Cameron Mitchell,John Cameron Mitchell,Nicole Kidman,Estados Unidos,6.5,4612
Los señores del acero,1985,126,Aventuras,Paul Verhoeven,Paul Verhoeven,Rutger Hauer,Estados Unidos,6.3,5526
Los siete magníficos,2016,132,Western,Antoine Fuqua,Antoine Fuqua,Denzel Washington,Estados Unidos,5.9,16798
Los sin nombre,1999,102,Intriga,Jaume Balagueró,Jaume Balagueró,Emma Vilarasau,España,5.9,12931
Los sueños de Akira Kurosawa,1990,120,Fantástico,Akira Kurosawa,Akira Kurosawa,Martin Scorsese,Japón,7.5,6371
Los teleñecos conquistan Manhattan (Los Muppets en Nueva York),1984,94,Infantil,Frank Oz,Frank Oz,The Muppets,Estados Unidos,5.8,1176
Los timadores,1990,119,Cine negro,Stephen Frears,Stephen Frears,Anjelica Huston,Estados Unidos,6.6,4843
Los tipos malos,2022,100,Animación,Pierre Perifel,Pierre Perifel,Willem Dafoe,Estados Unidos,6.2,2890
Los tres días del cóndor,1975,117,Intriga,Sydney Pollack,Sydney Pollack,Robert Redford,Estados Unidos,7.0,8394
Los tres entierros de Melquíades Estrada,2005,121,Drama,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,Estados Unidos,6.9,12342
Los tres mosqueteros: Los diamantes de la reina,1973,105,Aventuras,Richard Lester,Richard Lester,Richard Chamberlain,Reino Unido,6.0,1825
Los viajeros de la noche,1987,94,Fantástico,Kathryn Bigelow,Kathryn Bigelow,Adrian Pasdar,Estados Unidos,5.8,3472
Los visitantes,1993,105,Comedia,Jean-Marie Poiré,Jean-Marie Poiré,Jean Reno,Francia,5.9,10511
Los últimos días del edén,1992,104,Aventuras,John McTiernan,John McTiernan,Sean Connery,Estados Unidos,5.9,7143
Lost in Translation,2003,105,Drama,Sofia Coppola,Sofia Coppola,Edward Norton,Estados Unidos,7.1,100988
Love,2015,135,Romance,Gaspar Noé,Gaspar Noé,Karl Glusman,Francia,6.1,5811
Love & Mercy,2014,121,Drama,Bill Pohlad,Bill Pohlad,Paul Dano,Estados Unidos,6.7,4148
Love Actually,2003,128,Romance,Richard Curtis,Richard Curtis,Hugh Grant,Reino Unido,6.8,71932
Loving,2016,123,Drama,Jeff Nichols,Jeff Nichols,Joel Edgerton,Estados Unidos,6.5,5152
Loving Vincent,2017,95,Animación,Dorota Kobiela,"Dorota Kobiela,",Douglas Booth,Polonia,7.4,9208
Luca,2021,95,Animación,Enrico Casarosa,Enrico Casarosa, ,Estados Unidos,6.9,17500
Luces rojas,2012,119,Intriga,Rodrigo Cortés,Rodrigo Cortés,Cillian Murphy,España,6.1,27433
Lucía y el sexo,2001,123,Romance,Julio Medem,Julio Medem,Paz Vega,España,6.3,44408
Lugares comunes,2002,108,Drama,Adolfo Aristarain,Adolfo Aristarain,Federico Luppi,Argentina,7.6,12563
"Luis II de Baviera, el rey loco",1973,264,Drama,Luchino Visconti,Luchino Visconti,Helmut Berger,Italia,7.4,1831
Lulu on the Bridge,1998,103,Drama,Paul Auster,Paul Auster,Harvey Keitel,Estados Unidos,6.3,2063
Luna de Avellaneda,2004,140,Drama,Juan José Campanella,Juan José Campanella,Ricardo Darín,Argentina,6.9,16271
Luna de papel,1973,102,Comedia,Peter Bogdanovich,Peter Bogdanovich,Ryan O'Neal,Estados Unidos,7.6,5849
Luna de porcelana,1994,99,Intriga,John Bailey,John Bailey,Jacob Derwig,Países Bajos (Holanda),5.8,1275
"Lunana, un yak en la escuela",2019,110,Drama,Pawo Choyning Dorji,Pawo Choyning Dorji,Sherab Dorji,Bután,6.9,1013
Lunas de hiel,1992,139,Drama,Roman Polanski,Roman Polanski,Peter Coyote,Francia,7.1,12033
Lupin III: El castillo de Cagliostro,1979,110,Animación,Hayao Miyazaki,Hayao Miyazaki, ,Japón,7.0,4728
Lutero,2003,121,Drama,Eric Till,Eric Till,Joseph Fiennes,Alemania,6.0,4383
Luz de domingo,2007,114,Drama,José Luis Garci,José Luis Garci,Álex González,España,6.1,2325
Luz silenciosa,2007,142,Drama,Carlos Reygadas,Carlos Reygadas,Cornelio Wall,México,6.8,1673
Lágrimas del sol,2003,121,Bélico,Antoine Fuqua,Antoine Fuqua,Bruce Willis,Estados Unidos,6.2,18056
Lágrimas negras,1999,98,Drama,Ricardo Franco,"Ricardo Franco,",Ariadna Gil,España,5.8,2529
Léolo,1992,107,Drama,Jean-Claude Lauzon,Jean-Claude Lauzon,Maxime Collin,Canadá,7.5,16712
Límite: 48 horas,1982,96,Acción,Walter Hill,Walter Hill,Nick Nolte,Estados Unidos,6.0,9843
Línea mortal,1990,111,Ciencia ficción,Joel Schumacher,Joel Schumacher,Kiefer Sutherland,Estados Unidos,6.0,9886
M. Butterfly,1993,101,Romance,David Cronenberg,David Cronenberg,Jeremy Irons,Canadá,6.7,3339
MR 73,2008,124,Thriller,Olivier Marchal,Olivier Marchal,Daniel Auteuil,Francia,6.0,2099
Macbeth,2015,113,Drama,Justin Kurzel,Justin Kurzel,Jamie Foxx,Estados Unidos,6.2,9274
Machuca,2004,120,Drama,Andrés Wood,Andrés Wood,Matías Quer,Chile,7.4,7073
Mad City,1997,115,Drama,Costa-Gavras,Costa-Gavras,Dustin Hoffman,Estados Unidos,5.8,4874
Mad Max 2. El guerrero de la carretera,1981,92,Acción,George Miller,George Miller,Mel Gibson,Australia,6.7,22874
Mad Max. Salvajes de autopista,1979,90,Acción,George Miller,George Miller,Mel Gibson,Australia,6.6,65207
Mad Max: Furia en la carretera,2015,120,Acción,George Miller,George Miller,Alec Baldwin,Estados Unidos,7.1,67967
Madadayo,1993,134,Drama,Akira Kurosawa,Akira Kurosawa,Tatsuo Matsumura,Japón,7.1,1327
Madame Bovary,1991,131,Drama,Claude Chabrol,Claude Chabrol,Isabelle Huppert,Francia,6.3,1020
Madame Marguerite,2015,127,Drama,Xavier Giannoli,Xavier Giannoli,Catherine Frot,Francia,6.2,1666
Madeinusa,2006,100,Drama,Claudia Llosa,Claudia Llosa,Magaly Solier,Perú,6.5,1752
Mademoiselle Chambon,2009,96,Drama,Stéphane Brizé,Stéphane Brizé,Vincent Lindon,Francia,6.4,1084
Madre,2019,129,Drama,Rodrigo Sorogoyen,Rodrigo Sorogoyen,Marta Nieto,España,6.1,4650
Madre!,2017,120,Thriller,Darren Aronofsky,Darren Aronofsky,Jennifer Lawrence,Estados Unidos,6.3,28466
Madregilda,1993,105,Comedia,Francisco Regueiro,Francisco Regueiro,José Sacristán,España,5.9,1421
Madres e hijas,2009,127,Drama,Rodrigo García,Rodrigo García,Naomi Watts,Estados Unidos,6.8,4280
Madres paralelas,2021,123,Drama,Pedro Almodóvar,Pedro Almodóvar,Penélope Cruz,España,5.9,16177
"Madrid, 1987",2011,102,Drama,David Trueba,David Trueba,José Sacristán,España,6.2,3447
Maestro del crimen,2017,121,Thriller,Ric Roman Waugh,Ric Roman Waugh,Nikolaj Coster-Waldau,Estados Unidos,6.2,3966
